Country,Latitude,Longitude,GNI,GDP,Population,UNRP10,UNRP20,WBGini,GenderGapRank2013,GenderGapScore2013,EconomicRank2013,EconomicScore2013,EducationalRank2013,EducationalScore2013,HealthRank2013,HealthScore2013,PoliticalRank2013,PoliticalScore2013,TotalGold2014,TotalSilver2014,TotalBronze2014,TotalMedals2014,WomenGold2014,WomenSilver2014,WomenBronze2014,WomenMedals2014,WomenMedals2014Sqrt,MenGold2014,MenSilver2014,MenBronze2014,MenMedals2014,MenMedals2014Sqrt,TotalGold2012,TotalSilver2012,TotalBronze2012,WomenMedals2012,MenMedals2012,TotalMedals2012,TotalMedals2012and2014,TotalMedals2012and2014SQRT,TotMed1214per_,TotMed1214perPop,TotMedWom1214,TotMedMen1214,TotMedWom1214sqrt,TotMedMen1214sqrt
Afghanistan,124,114,1400,20497,29824536,0,,27.8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
Albania,131,161,9390,13119,3162083,7.2,4.8,34.5,108,0.6412,87,0.6324,92,0.9755,134,0.9313,130,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,126,177,7550,207955,38481705,9.6,6.1,35.3,124,0.5966,133,0.3307,106,0.9387,108,0.9661,62,0.1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
Angola,82,167,5490,114197,20820525,0,,58.6,92,0.6659,92,0.6163,127,0.8062,1,0.9796,34,0.2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,54,240,11740,474865,41086927,31.6,17.8,44.5,34,0.7195,101,0.5887,42,0.9962,1,0.9796,24,0.3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,4,4,2,0,0,0,3,0,1.73
Armenia,130,136,6990,9910,2969081,8,5,30.9,94,0.6634,82,0.6384,29,0.9995,131,0.9497,115,0.0662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,3,1.73,0,0,1,1,1,1
Australia,55,329,43170,1520608,22683600,12.5,7,30.5,24,0.739,13,0.7879,1,1,69,0.9735,43,0.1945,0,2,1,3,0,1,1,2,1.41,0,1,0,1,1,7,16,12,33,27,35,38,6.16,0,0,35,28,5.92,5.29
Austria,138,164,43220,399649,8462446,6.9,4.4,26,19,0.7437,69,0.6642,1,1,47,0.9787,19,0.3318,4,8,5,17,2,4,2,8,2.83,2,3,3,8,2.83,0,0,0,0,0,0,17,4.12,0,0,8,8,2.83,2.83
Azerbaijan,130,131,9410,67198,9297507,9.7,6,33.7,99,0.6582,72,0.6591,85,0.982,136,0.9254,114,0.0663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,3,10,10,3.16,0,0,2,3,1.41,1.73
Bahamas,115,257,29740,8149,371960,0,,,40,0.7128,5,0.8244,1,1,1,0.9796,124,0.0471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Bahrain,116,130,21420,29044,1317827,0,,,112,0.6334,117,0.5146,71,0.9911,112,0.9612,113,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Bangladesh,113,90,2070,115610,1.55E+08,7.5,4.9,32.1,75,0.6848,121,0.4954,115,0.8846,124,0.9557,7,0.4036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,103,239,18400,3685,283221,0,,,29,0.7301,10,0.7907,1,1,1,0.9796,63,0.1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,143,153,15210,63267,9464000,6.9,4.5,26.5,,,,,,,,,,,5,0,1,6,4,0,1,5,2.24,1,0,0,1,1,2,5,5,9,4,12,18,4.24,0,0,14,5,3.74,2.24
Belgium,140,176,39260,483709,11142157,8.2,4.9,33,11,0.7684,34,0.7367,67,0.9918,47,0.9787,14,0.3664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,3,1.73,0,0,2,1,1.41,1
Belize,90,180,6880,1493,324060,0,,53.1,107,0.6449,80,0.6458,103,0.9445,1,0.9796,133,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,96,178,1570,7557,10050702,9.4,6,38.6,126,0.5885,31,0.7419,136,0.5127,112,0.9612,72,0.1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,122,244,,5474,64806,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,90,180,6310,1780,741822,0,,38.1,93,0.6651,27,0.7528,116,0.8843,82,0.9725,122,0.0509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,74,248,4960,27035,10496285,93.9,42.3,56.3,27,0.734,57,0.6841,99,0.9623,84,0.9719,23,0.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia,133,162,9380,17048,3833916,5.4,3.8,36.2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,66,155,16520,14411,2003910,43,20.4,61,85,0.6752,48,0.7108,1,1,127,0.9549,127,0.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1
Brazil,75,227,11720,2252664,1.99E+08,40.6,21.8,54.7,62,0.6949,74,0.6561,1,1,1,0.9796,68,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,8,17,17,4.12,0,0,5,8,2.24,2.83
Brunei Darussa,94,65,49370,16954,412238,0,,,88,0.673,33,0.7372,76,0.9889,109,0.9658,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,132,157,15390,51030,7304632,7,4.4,28.2,43,0.7097,49,0.7067,64,0.9924,34,0.9791,58,0.1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1.41,0,0,1,0,1,0
Burkina Faso,102,181,1510,10441,16460141,11.6,6.9,39.8,103,0.6513,28,0.7467,128,0.7987,99,0.9685,98,0.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,90,180,560,2472,9849569,19.3,9.5,33.3,22,0.7397,3,0.8307,114,0.8895,99,0.9685,31,0.2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
